year,month,warning,visibility,height,speed,species name,injuries,aircraft damage
1990,1,,DAY,100,200,FINCH,,0
1990,2,,DAY,50,110,UNKNOWN MEDIUM BIRD,,0
1990,2,,DAY,800,140,UNKNOWN MEDIUM BIRD,,0
1990,2,No,NIGHT,10000,250,HAWK,,1
1990,3,,NIGHT,1700,170,UNKNOWN MEDIUM BIRD,,0
1990,3,,NIGHT,1500,200,UNKNOWN MEDIUM BIRD,,0
1990,3,Yes,NIGHT,1800,300,UNKNOWN MEDIUM BIRD,,0
1990,4,,DAY,1800,220,UNKNOWN MEDIUM BIRD,,0
1990,4,No,DAY,0,150,GULL,,0
1990,4,No,DAY,90,115,SNOW BUNTING,,0
1990,4,,NIGHT,600,130,UNKNOWN MEDIUM BIRD,,0
1990,4,No,DAY,3000,230,UNKNOWN MEDIUM BIRD,,0
1990,4,No,NIGHT,0,130,UNKNOWN SMALL BIRD,,0
1990,5,,DAY,500,115,UNKNOWN SMALL BIRD,,0
1990,5,,DAY,0,100,UNKNOWN MEDIUM BIRD,,0
1990,5,No,NIGHT,400,180,GULL,,0
1990,5,No,DAY,3200,160,DUCK,,1
1990,5,Yes,DAY,5500,240,UNKNOWN MEDIUM BIRD,,0
1990,5,,DAY,0,120,GULL,,0
1990,5,No,DAY,10,100,GULL,,0
1990,5,No,DAY,0,110,BLACKBIRD,,0
1990,5,No,DAY,0,80,GULL,,1
1990,5,No,NIGHT,8000,170,UNKNOWN MEDIUM BIRD,,0
1990,5,No,NIGHT,6800,83,UNKNOWN LARGE BIRD,,0
1990,5,No,DAY,650,95,WILSON'S SNIPE,,1
1990,5,No,DAWN,300,130,SPARROW,,0
1990,5,No,NIGHT,6500,210,"DUCKS, GEESE, SWANS",,0
1990,5,,DAY,1800,250,UNKNOWN MEDIUM BIRD,,0
1990,5,No,DAY,1000,70,EUROPEAN STARLING,,0
1990,5,No,DAY,200,60,EGRET,,0
1990,6,No,DAY,50,135,MOURNING DOVE,,0
1990,6,,DAY,0,90,UNKNOWN MEDIUM BIRD,,0
1990,6,,NIGHT,4260,165,UNKNOWN SMALL BIRD,,0
1990,6,,DAY,200,230,BLACKBIRD,,0
1990,6,No,DAY,4500,155,HAWK,,1
1990,6,No,DAY,0,120,AMERICAN ROBIN,,0
1990,6,No,DAY,50,130,UNKNOWN SMALL BIRD,,0
1990,6,No,DAY,8000,250,UNKNOWN MEDIUM BIRD,,0
1990,6,Yes,DUSK,0,110,UNKNOWN MEDIUM BIRD,,0
1990,6,No,DAY,0,100,AMERICAN CROW,,0
1990,6,No,NIGHT,11000,250,UNKNOWN SMALL BIRD,,0
1990,7,No,DAY,0,120,GULL,,0
1990,7,Yes,DAY,9000,140,UNKNOWN MEDIUM BIRD,1,1
1990,7,No,DAY,300,70,BLACKBIRD,,0
1990,7,No,DAY,100,132,BLACKBIRD,,0
1990,7,No,DAY,3000,210,UNKNOWN SMALL BIRD,,0
1990,7,No,DAY,13400,350,UNKNOWN LARGE BIRD,,1
1990,7,No,DAWN,0,130,EUROPEAN STARLING,,0
1990,7,No,DAY,800,160,BLACKBIRD,,0
1990,7,,DAY,0,60,UNKNOWN MEDIUM BIRD,,0
1990,7,No,DAY,300,140,MALLARD,,0
1990,7,,DAY,0,70,UNKNOWN MEDIUM BIRD,,0
1990,7,No,DAY,,135,WREN,,0
1990,7,,DUSK,0,140,UNKNOWN MEDIUM BIRD,,0
1990,7,No,DAY,50,135,UNKNOWN MEDIUM BIRD,,0
1990,7,No,DAY,2000,180,UNKNOWN SMALL BIRD,,0
1990,7,No,DAY,20,120,MOURNING DOVE,,0
1990,7,No,DAY,100,120,UNKNOWN SMALL BIRD,,0
1990,8,No,NIGHT,2400,170,UNKNOWN SMALL BIRD,,0
1990,8,No,DUSK,2000,120,BLACKBIRD,,0
1990,8,No,DAY,0,135,SPARROW,,0
1990,8,No,NIGHT,5380,250,UNKNOWN MEDIUM BIRD,,0
1990,8,No,DAY,300,140,BLACKBIRD,,0
1990,8,No,NIGHT,,130,GULL,,0
1990,8,No,DAY,600,132,UNKNOWN SMALL BIRD,,0
1990,8,No,DAY,0,100,ROCK PIGEON,,0
1990,8,No,DAY,0,120,UNKNOWN SMALL BIRD,,0
