id,age,status,gender,diet,drinks,height,income,last_online,location,offspring,sign,smokes,speaks,age_group,messages_sent,profile_completion,account_age,preferred_age_range,subscription_type,self_rated_attractiveness
618751,22,single,m,strictly anything,socially,75,-1,28/06/2012,"south san francisco, california","doesn't have kids, but might want them",gemini,sometimes,english,18-24,102,59,3,18-27,Free,9
510466,35,single,m,mostly other,often,70,80000,29/06/2012,"oakland, california","doesn't have kids, but might want them",cancer,no,"english (fluently), spanish (poorly), french (poorly)",35-44,435,77,1,30-40,Free,5
880036,38,available,m,anything,socially,68,-1,27/06/2012,"san francisco, california",,pisces but it doesn’t matter,no,"english, french, c++",35-44,348,90,3,33-43,Free,9
799132,23,single,m,vegetarian,socially,71,20000,28/06/2012,"berkeley, california",doesn't want kids,pisces,no,"english, german (poorly)",18-24,270,67,3,18-28,Free,8
185695,29,single,m,,socially,66,-1,27/06/2012,"san francisco, california",,aquarius,no,english,25-34,106,58,4,24-34,Premium,8
464313,29,single,m,mostly anything,socially,67,-1,29/06/2012,"san francisco, california","doesn't have kids, but might want them",taurus,no,"english (fluently), chinese (okay)",25-34,71,71,1,24-34,Free,10
424888,32,single,f,strictly anything,socially,65,-1,25/06/2012,"san francisco, california",,virgo,,english,25-34,188,59,5,27-37,Free,9
521975,31,single,f,mostly anything,socially,65,-1,29/06/2012,"san francisco, california","doesn't have kids, but wants them",sagittarius,no,"english, spanish (okay)",25-34,20,89,4,26-36,Free,8
617086,24,single,f,strictly anything,socially,67,-1,29/06/2012,"belvedere tiburon, california",doesn't have kids,gemini but it doesn’t matter,when drinking,english,25-34,102,72,5,19-29,Free,9
623846,37,single,m,mostly anything,not at all,65,-1,28/06/2012,"san mateo, california",,cancer but it doesn’t matter,no,english (fluently),35-44,121,92,6,32-42,Free,6
557640,35,available,m,mostly anything,socially,70,-1,04/06/2012,"san francisco, california",,taurus,yes,english,35-44,466,62,3,30-40,Premium,8
440136,28,seeing someone,m,mostly anything,socially,72,40000,22/05/2012,"daly city, california",,leo but it doesn’t matter,no,"english (fluently), sign language (poorly)",25-34,214,73,3,23-33,Free,10
101674,24,single,m,,often,72,-1,28/05/2012,"san francisco, california",doesn't have kids,taurus,,english,25-34,330,62,5,19-29,Free,6
305318,30,single,f,mostly anything,socially,66,30000,13/06/2012,"san francisco, california",,,no,english,25-34,458,97,5,25-35,Free,10
595340,29,single,f,mostly anything,socially,62,50000,29/06/2012,"san leandro, california","doesn't have kids, but wants them",taurus,no,english,25-34,87,94,9,24-34,Free,9
819611,39,single,f,strictly anything,socially,65,-1,29/06/2012,"san francisco, california",doesn't have kids,aquarius but it doesn’t matter,no,"english (fluently), spanish (okay)",35-44,372,74,7,34-44,Premium,9
212505,33,single,m,,socially,70,-1,29/06/2012,"oakland, california",,pisces but it doesn’t matter,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)",25-34,99,93,6,28-38,Premium,9
705315,26,single,f,,socially,64,-1,29/06/2012,"san francisco, california",doesn't have kids,aries and it’s fun to think about,no,english,25-34,359,96,2,21-31,Free,8
593509,31,single,m,mostly vegetarian,rarely,71,-1,29/06/2012,"san francisco, california",,libra but it doesn’t matter,no,english (fluently),25-34,151,78,9,26-36,Free,8
796027,33,single,m,mostly anything,socially,72,-1,27/06/2012,"san francisco, california",doesn't have kids,pisces and it’s fun to think about,no,english (fluently),25-34,130,65,3,28-38,Free,8
625750,27,single,f,mostly anything,socially,67,-1,26/06/2012,"san francisco, california",,libra,no,english (fluently),25-34,149,89,7,22-32,Free,9
638733,22,single,f,,socially,67,-1,15/06/2012,"san francisco, california","doesn't have kids, but might want them",taurus but it doesn’t matter,no,"english (fluently), spanish (fluently), italian (okay)",18-24,308,55,8,18-27,Premium,10
483962,30,single,m,mostly anything,socially,69,-1,28/06/2012,"san francisco, california","doesn't have kids, but might want them",sagittarius but it doesn’t matter,no,"english, spanish (poorly)",25-34,257,57,9,25-35,Free,8
865292,30,single,m,strictly vegan,not at all,71,-1,17/05/2012,"san francisco, california",,aquarius but it doesn’t matter,no,english,25-34,343,83,5,25-35,Free,10
678217,33,single,m,strictly anything,socially,73,-1,29/06/2012,"oakland, california",,scorpio and it matters a lot,sometimes,english,25-34,491,67,6,28-38,Free,9
161658,28,single,m,anything,rarely,70,-1,26/06/2012,"atherton, california","doesn't have kids, but wants them",gemini and it’s fun to think about,no,english,25-34,413,92,6,23-33,Free,7
281264,22,single,m,mostly anything,socially,72,-1,10/06/2012,"san francisco, california",,leo and it’s fun to think about,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)",18-24,293,81,5,18-27,Free,8
300384,22,single,m,anything,socially,67,-1,25/06/2012,"oakland, california",,leo and it’s fun to think about,no,"english (fluently), other (fluently), thai (poorly)",18-24,385,98,7,18-27,Free,10
321233,30,single,m,,socially,74,-1,19/06/2012,"san francisco, california",,,no,"english, spanish (poorly)",25-34,191,59,1,25-35,Free,9
154559,32,single,m,,socially,68,-1,29/06/2012,"san francisco, california",,leo but it doesn’t matter,no,english,25-34,443,83,5,27-37,Free,8
180161,27,single,f,anything,socially,64,-1,10/11/2011,"san francisco, california",,gemini,trying to quit,"english, spanish (poorly)",25-34,276,72,6,22-32,Free,9
405598,27,single,m,anything,socially,72,-1,27/06/2012,"san francisco, california","doesn't have kids, but wants them",,no,english,25-34,160,68,3,22-32,Free,9
914377,38,single,f,mostly anything,socially,67,-1,25/05/2012,"san leandro, california",doesn't have kids,libra,no,english,35-44,459,69,2,33-43,Premium,8
568865,20,single,f,mostly vegetarian,socially,60,-1,30/06/2012,"san rafael, california",doesn't want kids,cancer,no,"english (fluently), spanish (fluently)",18-24,313,83,4,18-25,Premium,10
373255,27,single,m,strictly anything,socially,69,-1,24/06/2012,"san francisco, california",,sagittarius but it doesn’t matter,when drinking,english,25-34,21,87,3,22-32,Free,9
